,Actor_name,Born,Occupation,spouse,spouse_first,spouse_second,spouse_third,spouse_fourth
915,Lenny Kravitz,['(1964-05-26)'],['Singersongwriteractorrecord producer'],['Lisa Bonet(m.\xa01987; div.\xa01993)'],Lisa Bonet(m. 1987; div. 1993),None,None,None
916,Rob Lowe,['(1964-03-17)'],"['Actor, director']",['Sheryl Berkoff (m.\xa01991)'],Sheryl Berkoff (m. 1991),None,None,None
917,Rob Riggle,['(1970-04-21)'],"['Actor, comedian,retired U.S. Marine Officer']",['Tiffany Riggle (m.\xa02000)'],Tiffany Riggle (m. 2000),None,None,None
918,Lance Henriksen,['(1940-05-05)'],"['Actor, voice actor, artist']","['Mary Jane Evans (m.\xa01985–1989)', 'Jane Pollack (m.\xa01995–2006)']",Mary Jane Evans (m. 1985–1989),Jane Pollack (m. 1995–2006),None,None
919,Richard Jenkins,['(1947-05-04)'],['Actor'],['Sharon R. Friedrick (m.\xa01969)'],Sharon R. Friedrick (m. 1969),None,None,None
920,Mike Vogel,['(1979-07-17)'],"['Actor, model']",['Courtney Vogel (m.\xa02003)'],Courtney Vogel (m. 2003),None,None,None
921,Michael Ealy,['(1973-08-03)'],['Actor'],['Khatira Rafiqzada (m.\xa02012)'],Khatira Rafiqzada (m. 2012),None,None,None
922,Freddie Prinze Jr.,['(1976-03-08)'],['Actor'],['Sarah Michelle Gellar (m.\xa02002)'],Sarah Michelle Gellar (m. 2002),None,None,None
923,Jamie Bell,['(1986-03-14)'],"['Actor, dancer']","['Evan Rachel Wood(m.\xa02012; div.\xa02014)', 'Kate Mara (m.\xa02017)']",Evan Rachel Wood(m. 2012; div. 2014),Kate Mara (m. 2017),None,None
924,Jonathan Rhys Meyers,['(1977-07-27)'],['Actor'],['Mara Lane (m.\xa02016)'],Mara Lane (m. 2016),None,None,None
925,Michael Cera,['(1988-06-07)'],['Actorproducersingersongwritermusician'],[],Never married,None,None,None
926,Bill Paxton,"['(1955-05-17)', '(2017-02-25)']",['Actor\nfilm director'],"['Kelly Rowan(m.\xa01979; div.\xa01980)', 'Louise Newbury (m.\xa01987)']",Kelly Rowan(m. 1979; div. 1980),Louise Newbury (m. 1987),None,None
927,Ioan Gruffudd,['(1973-10-06)'],['Actor'],['Alice Evans (m.\xa02007)'],Alice Evans (m. 2007),None,None,None
928,Andrew Lincoln,['(1973-09-14)'],['Actor'],['Gael Anderson (m.\xa02006)'],Gael Anderson (m. 2006),None,None,None
929,Bill Pullman,['(1953-12-17)'],['Actor'],['Tamara Hurwitz (m.\xa01987)'],Tamara Hurwitz (m. 1987),None,None,None
930,Charlie Day,['(1976-02-09)'],"['Actor, screenwriter, producer, comedian, musician']",['Mary Elizabeth Ellis (m.\xa02006)'],Mary Elizabeth Ellis (m. 2006),None,None,None
931,Andy Samberg,['(1978-08-18)'],"['Actor, comedian, filmmaker, musician']",['Joanna Newsom (m.\xa02013)'],Joanna Newsom (m. 2013),None,None,None
932,Garrett Hedlund,['(1984-09-03)'],"['Actor, model, singer']",[],Never married,None,None,None
933,Cam Gigandet,['(1982-08-16)'],['Actor'],[],Never married,None,None,None
934,John Krasinski,['(1979-10-20)'],['Actorscreenwriterproducerdirector'],['Emily Blunt (m.\xa02010)'],Emily Blunt (m. 2010),None,None,None
935,Kevin James,['(1965-04-26)'],"['Actor, comedian, screenwriter, producer']",['Steffiana de la Cruz (m.\xa02004)'],Steffiana de la Cruz (m. 2004),None,None,None
936,Breckin Meyer,['(1974-05-07)'],"['Actor, voice actor, writer, producer, drummer']",['Deborah Kaplan(m.\xa02001; div.\xa02014)'],Deborah Kaplan(m. 2001; div. 2014),None,None,None
937,Christopher Reeve,"['(1952-09-25)', '(2004-10-10)']","['Actor, director, producer, screenwriter, author, activist, equestrian']",['Dana Morosini (m.\xa01992)'],Dana Morosini (m. 1992),None,None,None
938,James McAvoy,['(1979-04-21)'],['Actor'],['Anne-Marie Duff (m.\xa02006–2016)'],Anne-Marie Duff (m. 2006–2016),None,None,None
939,Rufus Sewell,['(1967-10-29)'],['Actor'],"['Yasmin Abdallah(m.\xa01999; div.\xa02000)', 'Amy Gardner(m.\xa02004; div.\xa02006)']",Yasmin Abdallah(m. 1999; div. 2000),Amy Gardner(m. 2004; div. 2006),None,None
940,Ned Beatty,['(1937-07-06)'],['Actor'],"['Walta Chandler (m.\xa01959–1968)', 'Belinda Rowley (m.\xa01971–1979)', 'Dorothy ""Tinker"" Lindsey (m.\xa01979–1998)', 'Sandra Johnson (m.\xa01999)']",Walta Chandler (m. 1959–1968),Belinda Rowley (m. 1971–1979),"Dorothy ""Tinker"" Lindsey (m. 1979–1998)",Sandra Johnson (m. 1999)
941,John Cleese,['(1939-10-27)'],"['Actor, voice actor, comedian, screenwriter, producer']","['Connie Booth(m.\xa01968; div.\xa01978)', 'Barbara Trentham(m.\xa01981; div.\xa01990)', 'Alyce Eichelberger(m.\xa01992; div.\xa02008)', 'Jennifer Wade (m.\xa02012)']",Connie Booth(m. 1968; div. 1978),Barbara Trentham(m. 1981; div. 1990),Alyce Eichelberger(m. 1992; div. 2008),Jennifer Wade (m. 2012)
942,John Turturro,['(1957-02-28)'],['Actorwriterfilmmaker'],['Katherine Borowitz (m.\xa01985)'],Katherine Borowitz (m. 1985),None,None,None
943,Jerry Lewis,"['(1926-03-16)', '(2017-08-20)']",['Comedian\nactor\nsinger\nfilmmaker\nhumanitarian'],"['Patti Palmer(m.\xa01944; div.\xa01980)', 'SanDee Pitnick (m.\xa01983)']",Patti Palmer(m. 1944; div. 1980),SanDee Pitnick (m. 1983),None,None
